date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:47:52	145315/145315	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:27:49%20GMT	https://builder.simplepage.vn/saffron-voi-giac-ngu/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index.html	(from )
03:47:52	151306/151306	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2007:42:08%20GMT	https://builder.simplepage.vn/thao-moc-giam-can-cenly/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-2.html	(from )
03:47:53	229045/229045	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:26:13%20GMT	https://builder.simplepage.vn/kem-tri-nam-happy/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-5.html	(from )
03:47:54	168161/168161	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:25:37%20GMT	https://builder.simplepage.vn/dong-trung-ha-thao-ogafa/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-3.html	(from )
03:47:54	108427/108427	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20May%202022%2008:18:55%20GMT	https://builder.simplepage.vn/mau-landingpage-dong-y-02/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-7.html	(from )
03:47:55	146774/146774	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2004:04:42%20GMT	https://builder.simplepage.vn/mau-ldp-tpcn-0003/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-8.html	(from )
03:47:56	123642/123642	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:33:04%20GMT	https://builder.simplepage.vn/mau-ldp-gel-tan-mo-0001/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-9.html	(from )
03:48:17	68/68	---M--	200	added ('OK')	text/plain	etag:%2260a614f9-44%22	https://builder.simplepage.vn/robots.txt		(from )
03:48:18	93485/93485	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2007:39:21%20GMT	https://builder.simplepage.vn/mau-ldp-tpcn-05/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-4.html	(from )
03:48:18	62737/62737	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20May%202022%2013:26:27%20GMT	https://builder.simplepage.vn/mau-ladingpage-dong-y/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-6.html	(from )
03:48:18	104159/104159	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2021:06:04%20GMT	https://builder.simplepage.vn/mau-ldp-my-pham-10/	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/index-10.html	(from )
03:48:19	1017450/1017450	---MCZ	200	added ('OK')	text/css	etag:W/%2262932075-f866a%22	https://builder.simplepage.vn/wp-content/cache/min/1/3c873561376b42cd2aea3ec5c20ea2e4.css	C:/Users/Chinhdayroi/Desktop/ladipage/TPCN/web/css/3c873561376b42cd2aea3ec5c20ea2e4.css	(from https://builder.simplepage.vn/saffron-voi-giac-ngu/)
