date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:29:45	160826/160826	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Jul%202022%2011:38:52%20GMT	https://builder.simplepage.vn/tam-panel-cach-nhiet/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index.html	(from )
03:29:46	308579/308579	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20May%202022%2004:50:27%20GMT	https://builder.simplepage.vn/qua-tang-suc-khoe-tien-duoc/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-4.html	(from )
03:29:47	157345/157345	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20May%202022%2004:49:59%20GMT	https://builder.simplepage.vn/nhung-huou-huong-son/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-3.html	(from )
03:29:48	183547/183547	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20May%202022%2002:04:33%20GMT	https://builder.simplepage.vn/con-la-so-1/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-5.html	(from )
03:29:49	115189/115189	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2022:38:19%20GMT	https://builder.simplepage.vn/dau-goi-tokyo/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-7.html	(from )
03:30:11	68/68	---M--	200	added ('OK')	text/plain	etag:%2260a614f9-44%22	https://builder.simplepage.vn/robots.txt		(from )
03:30:12	152072/152072	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20May%202022%2005:53:50%20GMT	https://builder.simplepage.vn/artisq/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-9.html	(from )
03:30:12	69403/69403	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20May%202022%2004:49:33%20GMT	https://builder.simplepage.vn/banh-gao-lut-gufods/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-2.html	(from )
03:30:13	192506/192506	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:24:54%20GMT	https://builder.simplepage.vn/nuoc-hoa-danh-cho-gioi-van-phong/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-10.html	(from )
03:30:13	102835/102835	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2023:14:14%20GMT	https://builder.simplepage.vn/xien-que/	C:/Users/Chinhdayroi/Desktop/ladipage/ban-hang/web/index-6.html	(from )
