date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:40:59	119884/119884	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20May%202022%2008:32:44%20GMT	https://builder.simplepage.vn/sinh-trac-van-tay-touchfinger-kham-pha-tiem-nang-tao-hoa/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-2.html	(from )
03:40:59	247257/247257	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:16:05%20GMT	https://builder.simplepage.vn/dich-vu-alibaba-ggs/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-3.html	(from )
03:41:00	173883/173883	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20May%202022%2004:10:30%20GMT	https://builder.simplepage.vn/combo-cuoi/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-4.html	(from )
03:41:01	137519/137519	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:20:20%20GMT	https://builder.simplepage.vn/nhakhoa-tu-yen/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-6.html	(from )
03:41:02	173902/173902	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2020:53:57%20GMT	https://builder.simplepage.vn/dich-vu-4g-viettel/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-7.html	(from )
03:41:03	104639/104639	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:32:12%20GMT	https://builder.simplepage.vn/mau-ldp-nha-hang-03/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-8.html	(from )
03:41:24	68/68	---M--	200	added ('OK')	text/plain	etag:%2260a614f9-44%22	https://builder.simplepage.vn/robots.txt		(from )
03:41:25	94844/94844	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:33:58%20GMT	https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index.html	(from )
03:41:26	85186/85186	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:19:57%20GMT	https://builder.simplepage.vn/chuong-trinh-chuyen-doi-so-0-dong-cho-doanh-nghiep/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-5.html	(from )
03:41:27	71564/71564	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:32:38%20GMT	https://builder.simplepage.vn/mau-ldp-nha-hang-san-fu-lou/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-9.html	(from )
03:41:27	990936/990936	---MCZ	200	added ('OK')	text/css	etag:W/%22629321e6-f1ed8%22	https://builder.simplepage.vn/wp-content/cache/min/1/fc04771a87bfbf8ce587db2bf5a9998e.css	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/css/fc04771a87bfbf8ce587db2bf5a9998e.css	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
03:41:28	97279/97279	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2013:33:35%20GMT	https://builder.simplepage.vn/mau-ldp-nha-khoa-02/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-10.html	(from )
03:41:29	123797/123797	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2002:39:42%20GMT	https://builder.simplepage.vn/mau-lp-the-thao-01/	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/index-11.html	(from )
03:41:29	8112/8112	---M--	200	added ('OK')	image/png	etag:%2260a633a5-1fb0%22	https://simpleweb.vn/wp-content/uploads/2020/11/logo-SLIFE1557391230sp7cx.png	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/png/logo-slife1557391230sp7cx.png	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
03:41:29	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-704b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.css?ver=5.4.1	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/css/font-awesomec225.css	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
03:41:30	2574/2574	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Jun%202022%2011:16:20%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/themes/twentytwenty/print.css?ver=5.4.1	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/css/printc225.css	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
03:41:31	662/662	---M--	200	added ('OK')	image/png	date:Wed,%2025%20May%202022%2015:47:13%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/png/youtube.png	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
03:41:31	96873/96873	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2031%20Jul%202022%2020:41:30%20GMT	https://simpleweb.cdn.vccloud.vn/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/js/jquery4a5f.js	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
03:41:32	1285/1285	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Jun%202022%2018:49:53%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2020/06/cropped-logo-min-blue-1-32x32.png	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/png/cropped-logo-min-blue-1-32x32.png	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
03:41:32	15824/15824	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2001:16:16%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2020/06/cropped-logo-min-blue-1-192x192.png	C:/Users/Chinhdayroi/Desktop/ladipage/dich-vu/web/png/cropped-logo-min-blue-1-192x192.png	(from https://builder.simplepage.vn/he-thong-phong-tap-gym-yoga-gan-ban-slife-gym/)
