date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:07	105153/105153	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20May%202022%2010:59:00%20GMT	https://builder.simplepage.vn/mau-ldp-bao-hiem-07	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/mau-ldp-bao-hiem-07.html	(from )
18:54:08	152534/152534	---M-Z	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2009:11:22%20GMT	https://builder.simplepage.vn/abbank-ditizen/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index.html	(from )
18:54:08	100815/100815	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2013:22:18%20GMT	https://builder.simplepage.vn/htc-finance/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-4.html	(from )
18:54:09	135114/135114	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2008:00:38%20GMT	https://builder.simplepage.vn/dauttu/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-5.html	(from )
18:54:10	108028/108028	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2012:53:24%20GMT	https://builder.simplepage.vn/hen-network/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-6.html	(from )
18:54:33	68/68	---M--	200	added ('OK')	text/plain	etag:%2260a614f9-44%22	https://builder.simplepage.vn/robots.txt		(from )
18:54:34	72117/72117	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Jun%202022%2014:04:55%20GMT	https://builder.simplepage.vn/vaytinchap-vn/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-2.html	(from )
18:54:34	113384/113384	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2007:21:37%20GMT	https://builder.simplepage.vn/cungmuabaohiem-com/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-3.html	(from )
18:54:35	75394/75394	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2005:02:38%20GMT	https://builder.simplepage.vn/mau-ldp-chung-khoan-01/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-7.html	(from )
18:54:35	1061378/1061378	---MCZ	200	added ('OK')	text/css	etag:W/%2262c7f4ba-103202%22	https://builder.simplepage.vn/wp-content/cache/min/1/16df036a1936969300861afad2369a82.css	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/css/16df036a1936969300861afad2369a82.css	(from https://builder.simplepage.vn/abbank-ditizen/)
18:54:36	83392/83392	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2023:21:29%20GMT	https://builder.simplepage.vn/mau-ldp-tai-chinh-008/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-8.html	(from )
18:54:36	493280/493280	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jan%202022%2001:28:44%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2021/03/dc9c5343c80cb7497177d6838e47d7a0_cover-1.png	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/png/dc9c5343c80cb7497177d6838e47d7a0_cover-1.png	(from https://builder.simplepage.vn/abbank-ditizen/)
18:54:36	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-704b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.css?ver=5.4.1	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/css/font-awesomec225.css	(from https://builder.simplepage.vn/abbank-ditizen/)
18:54:36	2574/2574	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Jun%202022%2011:16:20%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/themes/twentytwenty/print.css?ver=5.4.1	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/css/printc225.css	(from https://builder.simplepage.vn/abbank-ditizen/)
18:54:37	757/757	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22cb4271e26ade67d88d3902f304f299b3%22	https://builder.simplepage.vn/comments/feed/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-10.html	(from https://builder.simplepage.vn/abbank-ditizen/)
18:54:37	1092/1092	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221475e70499980858694339db303f045c%22	https://builder.simplepage.vn/feed/	C:/Users/Chinhdayroi/Desktop/ladipage/tai-chinh/web/index-9.html	(from https://builder.simplepage.vn/abbank-ditizen/)
