date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:55:00	107206/107206	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2023:52:43%20GMT	https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/index.html	(from )
03:55:00	68/68	---M--	200	added ('OK')	text/plain	etag:%2260a614f9-44%22	https://builder.simplepage.vn/robots.txt		(from )
03:55:01	1068989/1068989	---MCZ	200	added ('OK')	text/css	etag:W/%22628c1e4a-104fbd%22	https://builder.simplepage.vn/wp-content/cache/min/1/03c273fe7acb7122a15afe00d90f7a44.css	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/css/03c273fe7acb7122a15afe00d90f7a44.css	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
03:55:02	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-704b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.3.0/css/font-awesome.css?ver=5.4.1	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/css/font-awesomec225.css	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
03:55:02	801698/801698	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jun%202022%2019:29:58%20GMT	https://simpleweb1.cdn.vccloud.vn/wp-content/uploads/2021/09/b3b193c18419ac7e06f99791bfd3be67_cover-1.png	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/png/b3b193c18419ac7e06f99791bfd3be67_cover-1.png	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
03:55:03	2574/2574	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jun%202022%2011:25:38%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/themes/twentytwenty/print.css?ver=5.4.1	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/css/printc225.css	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
03:55:04	662/662	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Feb%202022%2017:13:18%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/png/youtube.png	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
03:55:04	96873/96873	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2005%20Apr%202022%2008:48:15%20GMT	https://simpleweb.cdn.vccloud.vn/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/js/jquery4a5f.js	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
03:55:05	1285/1285	---M--	200	added ('OK')	image/png	etag:W/%22PSA-ynbGQdZETZ%22	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2020/06/cropped-logo-min-blue-1-32x32.png	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/png/cropped-logo-min-blue-1-32x32.png	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
03:55:05	15824/15824	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jun%202022%2003:05:21%20GMT	https://simpleweb.cdn.vccloud.vn/wp-content/uploads/2020/06/cropped-logo-min-blue-1-192x192.png	C:/Users/Chinhdayroi/Desktop/ladipage/tuyen-dung/web/png/cropped-logo-min-blue-1-192x192.png	(from https://builder.simplepage.vn/co-hoi-hop-tac-vncenter/)
